Local: ,2025-05-08 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1746655200000.0
Timestamp,Seq No.,ECG data
1746694876708.25,31,42953
1746694876709.25,32,42939
1746694876710.25,32,42931
1746694876711.25,32,42919
1746694876712.25,32,42916
1746694876713.25,32,42917
1746694876714.156,32,42913
1746694876715.156,32,42925
1746694876716.156,32,42931
1746694876717.156,32,42929
1746694876718.156,32,42931
1746694876719.156,32,42931
1746694876720.156,33,42919
1746694876721.1558,33,42905
1746694876722.156,33,42889
1746694876723.156,33,42875
1746694876724.156,33,42859
1746694876725.156,33,42849
1746694876726.156,33,42832
1746694876727.156,33,42815
1746694876728.156,33,42796
1746694876729.156,33,42775
1746694876730.062,33,42755
1746694876731.063,34,42731
1746694876732.062,34,42713
1746694876733.063,34,42691
1746694876734.062,34,42675
1746694876735.063,34,42658
1746694876736.063,34,42650
1746694876737.062,34,42643
1746694876738.063,34,42638
1746694876739.062,34,42633
1746694876740.063,34,42624
1746694876741.062,34,42614
1746694876742.063,35,42593
1746694876743.062,35,42579
1746694876744.063,35,42554
1746694876745.062,35,42538
1746694876745.969,35,42523
1746694876746.969,35,42509
1746694876747.969,35,42498
1746694876748.969,35,42485
1746694876749.969,35,42471
1746694876750.969,35,42454
1746694876751.969,35,42447
1746694876752.969,36,42441
1746694876753.969,36,42431
1746694876754.969,36,42417
1746694876755.969,36,42401
1746694876756.969,36,42389
1746694876757.969,36,42376
1746694876758.969,36,42365
1746694876759.969,36,42359
1746694876760.969,36,42359
1746694876761.844,36,42348
1746694876762.844,36,42338
1746694876763.844,37,42324
1746694876764.844,37,42302
1746694876765.844,37,42286
1746694876766.844,37,42259
1746694876767.844,37,42241
1746694876768.844,37,42217
1746694876769.844,37,42194
1746694876770.844,37,42170
1746694876771.844,37,42152
1746694876772.844,37,42138
1746694876773.844,37,42122
1746694876774.844,38,42099
1746694876775.844,38,42082
1746694876776.844,38,42068
1746694876777.781,38,42047
1746694876778.781,38,42028
1746694876779.781,38,42008
1746694876780.781,38,41987
1746694876781.781,38,41973
1746694876782.781,38,41969
1746694876783.781,38,41964
1746694876784.781,38,41959
1746694876785.781,39,41945
1746694876786.781,39,41933
1746694876787.781,39,41919
1746694876788.781,39,41899
1746694876789.781,39,41877
1746694876790.781,39,41854
1746694876791.781,39,41833
1746694876792.781,39,41815
1746694876793.656,39,41796
1746694876794.656,39,41783
1746694876795.656,39,41768
1746694876796.656,40,41755
1746694876797.656,40,41739
1746694876798.656,40,41720
1746694876799.656,40,41710
1746694876800.656,40,41691
1746694876801.656,40,41676
1746694876802.656,40,41656
1746694876803.656,40,41641
1746694876804.656,40,41633
1746694876805.656,40,41617
1746694876806.6558,40,41602
1746694876807.656,41,41581
1746694876808.656,41,41566
1746694876809.562,41,41550
1746694876810.563,41,41534
1746694876811.562,41,41520
1746694876812.563,41,41512
1746694876813.562,41,41504
1746694876814.563,41,41500
1746694876815.562,41,41489
