Untitled1.acq
Graph Created on: 2025-05-08 10:59:51.363
Recording on: 2025-05-08 11:01:46.417
0.5 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, X, RSPEC-R
mV
CH1	CH9	
254970 samples	254970 samples	
0.169678	-0.0370789	
0.167236	-0.030365	
0.164795	-0.0244141	
0.162354	-0.0189209	
0.160217	-0.0138855	
0.157166	-0.00823975	
0.154724	-0.00213623	
0.152588	0.00244141	
0.150146	0.00488281	
0.1474	0.00411987	
0.144958	0.000305176	
0.142212	-0.00442505	
0.140381	-0.0112915	
0.140076	-0.0216675	
0.137939	-0.0331116	
0.135498	-0.0439453	
0.132446	-0.0547791	
0.13031	-0.0628662	
0.127869	-0.0689697	
0.125427	-0.0737	
0.122986	-0.0765991	
0.12085	-0.0790405	
0.118103	-0.0813293	
0.115967	-0.08255	
0.115051	-0.08255	
0.112915	-0.08255	
0.111389	-0.0819397	
0.109558	-0.0801086	
0.108337	-0.0770569	
0.105896	-0.072937	
0.10498	-0.0682068	
0.103455	-0.0617981	
0.101013	-0.0532532	
0.0982666	-0.0453186	
0.0964355	-0.0361633	
0.09552	-0.0276184	
0.0933838	-0.0215149	
0.0915527	-0.0178528	
0.0881958	-0.0167847	
0.0860596	-0.0170898	
0.0854492	-0.0190735	
0.0827026	-0.0221252	
0.0805664	-0.0271606	
0.0805664	-0.0328064	
0.0790405	-0.0366211	
0.0765991	-0.0398254	
0.0759888	-0.0413513	
0.0738525	-0.0436401	
0.0698853	-0.0468445	
0.0665283	-0.0500488	
0.0662231	-0.0540161	
0.0643921	-0.0579834	
0.0622559	-0.0611877	
0.0598145	-0.0650024	
0.057373	-0.0671387	
0.0540161	-0.0679016	
0.0524902	-0.0671387	
0.0518799	-0.0648499	
0.0494385	-0.0605774	
0.0476074	-0.055542	
0.0466919	-0.0505066	
0.0445557	-0.0466919	
0.0424194	-0.0450134	
0.0390625	-0.0457764	
0.0378418	-0.0500488	
0.0354004	-0.0546265	
0.0326538	-0.0585938	
0.0299072	-0.0619507	
0.0271606	-0.0628662	
0.0268555	-0.0639343	
0.0250244	-0.0646973	
0.0231934	-0.065918	
0.0204468	-0.0683594	
0.0177002	-0.0708008	
0.0170898	-0.0747681	
0.0149536	-0.0778198	
0.0131226	-0.0802612	
0.0106812	-0.0819397	
0.00793457	-0.0819397	
0.00640869	-0.0811768	
0.00610352	-0.0819397	
0.00305176	-0.0827026	
0.000610352	-0.0816345	
-0.00213623	-0.0801086	
-0.00457764	-0.0765991	
-0.00701904	-0.072937	
-0.00732422	-0.0698853	
-0.00946045	-0.0653076	
-0.0119019	-0.0613403	
-0.0119019	-0.0582886	
-0.0140381	-0.0564575	
-0.0164795	-0.0558472	
-0.0186157	-0.0559998	
-0.0216675	-0.0563049	
-0.022583	-0.0575256	
-0.022583	-0.0575256	
-0.0231934	-0.0559998	
-0.0265503	-0.0550842	
-0.0289917	-0.0531006	
-0.0292969	-0.0518799	
-0.0302124	-0.0508118	
-0.0320435	-0.0508118	
-0.0338745	-0.0509644	
-0.0363159	-0.0511169	
-0.0366211	-0.0511169	
-0.0396729	-0.0506592	
-0.0411987	-0.0508118	
-0.0424194	-0.0511169	
-0.0418091	-0.0508118	
-0.0418091	-0.0508118	
-0.0439453	-0.0515747	
-0.0463867	-0.0520325	
-0.0482178	-0.0508118	
-0.0509644	-0.0495911	
-0.0518799	-0.0462341	
-0.0515747	-0.0421143	
-0.0537109	-0.0372314	
-0.0552368	-0.0325012	
-0.0582886	-0.0273132	
-0.0610352	-0.0248718	
-0.0610352	-0.0250244	
-0.0640869	-0.0257874	
-0.065918	-0.0268555	
-0.0686646	-0.0282288	
-0.0701904	-0.0283813	
-0.0717163	-0.0286865	
-0.0738525	-0.0286865	
-0.0772095	-0.0292969	
-0.0802612	-0.0315857	
-0.0808716	-0.032959	
-0.0827026	-0.0334167	
-0.0848389	-0.0331116	
-0.0857544	-0.0317383	
-0.0866699	-0.0312805	
-0.0878906	-0.0314331	
-0.0897217	-0.0311279	
-0.0927734	-0.030365	
-0.0952148	-0.0299072	
-0.0952148	-0.0305176	
-0.0958252	-0.0300598	
-0.0976563	-0.0282288	
-0.0994873	-0.0234985	
-0.100708	-0.018158	
-0.100403	-0.0109863	
-0.102539	-0.00457764	
-0.104675	0.00198364	
-0.105591	0.0038147	
-0.105286	0.00167847	
-0.10498	-0.00518799	
-0.107117	-0.0141907	
-0.109253	-0.0247192	
-0.111694	-0.0357056	
-0.114441	-0.0460815	
-0.115356	-0.0546265	
-0.117493	-0.0596619	
-0.119934	-0.0634766	
-0.122375	-0.0679016	
-0.124512	-0.0724792	
-0.124817	-0.0767517	
-0.126953	-0.0814819	
-0.1297	-0.0845337	
-0.129395	-0.0874329	
-0.134277	-0.0898743	
-0.138855	-0.0920105	
-0.139465	-0.0917053	
-0.140381	-0.0898743	
-0.141907	-0.0871277	
-0.144043	-0.0827026	
-0.14679	-0.0775146	
-0.149536	-0.0721741	
-0.150146	-0.0666809	
-0.151367	-0.0630188	
-0.154419	-0.0605774	
-0.15686	-0.0590515	
-0.158691	-0.0575256	
-0.159912	-0.0546265	
-0.160217	-0.0500488	
-0.161743	-0.0447083	
-0.163879	-0.040741	
-0.166931	-0.0364685	
-0.168457	-0.0334167	
-0.169373	-0.0309753	
-0.169678	-0.0292969	
-0.170898	-0.0280762	
-0.175476	-0.0276184	
-0.178223	-0.0297546	
-0.179138	-0.0335693	
-0.181274	-0.0392151	
-0.183716	-0.045929	
-0.183105	-0.0518799	
-0.184326	-0.0553894	
-0.183716	-0.0582886	
-0.186462	-0.059967	
-0.187683	-0.06073	
-0.19104	-0.0608826	
-0.193481	-0.0613403	
-0.194397	-0.0627136	
-0.193787	-0.0630188	
-0.196533	-0.0631714	
-0.197754	-0.0639343	
-0.198975	-0.0645447	
-0.201111	-0.0631714	
-0.203552	-0.0601196	
-0.205994	-0.0564575	
-0.208435	-0.0532532	
-0.20874	-0.0505066	
-0.20874	-0.0476074	
-0.20874	-0.0436401	
-0.20874	-0.0410461	
-0.210571	-0.0379944	
-0.213013	-0.0350952	
-0.213623	-0.0325012	
-0.213928	-0.0286865	
-0.213623	-0.0245667	
-0.215759	-0.0221252	
-0.21759	-0.0209045	
-0.219116	-0.019989	
-0.220337	-0.0216675	
-0.222778	-0.0239563	
-0.223389	-0.0262451	
-0.22583	-0.0286865	
-0.227661	-0.0309753	
-0.228271	-0.0328064	
-0.228271	-0.03479	
-0.228271	-0.037384	
-0.227966	-0.0386047	
-0.229187	-0.0410461	
-0.228882	-0.0428772	
-0.230103	-0.0434875	
-0.232239	-0.0437927	
-0.232849	-0.0434875	
-0.232849	-0.0434875	
-0.234985	-0.0442505	
-0.237122	-0.0456238	
-0.237427	-0.045166	
-0.238037	-0.0437927	
-0.239868	-0.0428772	
-0.242615	-0.0408936	
-0.243225	-0.0392151	
-0.242615	-0.0384521	
-0.245361	-0.039978	
-0.247192	-0.0430298	
-0.248108	-0.0466919	
-0.247803	-0.0509644	
-0.249634	-0.0550842	
-0.25238	-0.0578308	
-0.254822	-0.0605774	
-0.256653	-0.0630188	
-0.257568	-0.0654602	
-0.26001	-0.0679016	
-0.26123	-0.0706482	
-0.262146	-0.0727844	
-0.265198	-0.0744629	
-0.266724	-0.0753784	
-0.26947	-0.0743103	
-0.271301	-0.072937	
-0.274963	-0.0704956	
-0.277405	-0.0680542	
-0.277405	-0.0662231	
-0.279541	-0.0648499	
-0.281677	-0.0631714	
-0.284119	-0.059967	
-0.286255	-0.0564575	
-0.289001	-0.0549316	
-0.293884	-0.0559998	
-0.296326	-0.058136	
-0.297546	-0.0608826	
-0.299377	-0.0628662	
-0.301514	-0.0650024	
-0.303955	-0.0646973	
-0.306702	-0.0630188	
-0.306396	-0.0596619	
-0.306702	-0.0561523	
-0.308838	-0.0532532	
-0.310974	-0.0500488	
-0.313416	-0.0463867	
-0.315552	-0.042572	
-0.316162	-0.0396729	
-0.319214	-0.0387573	
-0.32135	-0.0379944	
-0.323792	-0.0358582	
-0.326233	-0.0337219	
-0.326843	-0.0317383	
-0.328369	-0.0314331	
-0.330505	-0.0311279	
-0.331421	-0.0306702	
-0.333252	-0.0286865	
-0.335083	-0.0270081	
-0.336609	-0.0263977	
-0.338135	-0.0262451	
-0.340881	-0.0271606	
-0.343323	-0.0285339	
-0.345459	-0.0288391	
-0.346069	-0.0274658	
-0.346069	-0.0233459	
-0.345459	-0.0166321	
-0.348511	-0.00961304	
-0.350037	-0.00427246	
-0.351257	0.000305176	
-0.353088	0.00549316	
-0.354614	0.00991821	
-0.355835	0.0132751	
-0.35553	0.0166321	
-0.358887	0.0172424	
-0.362854	0.0172424	
-0.36438	0.0140381	
-0.366211	0.00976563	
-0.368042	0.00274658	
-0.369873	-0.00473022	
-0.370789	-0.0151062	
-0.370483	-0.0263977	
-0.371094	-0.0387573	
-0.371094	-0.0502014	
-0.371094	-0.0604248	
-0.371399	-0.0706482	
-0.370789	-0.0796509	
-0.370789	-0.0868225	
-0.370789	-0.0930786	
-0.378723	-0.0993347	
-0.387573	-0.104675	
-0.392151	-0.10849	
-0.394287	-0.108643	
-0.395203	-0.106659	
-0.397644	-0.101166	
-0.39917	-0.0939941	
-0.401611	-0.0854492	
-0.404358	-0.0775146	
-0.404663	-0.0717163	
-0.407104	-0.0679016	
-0.408936	-0.0663757	
-0.411987	-0.0654602	
-0.414124	-0.065155	
-0.415955	-0.0628662	
-0.418701	-0.0616455	
-0.419006	-0.062561	
-0.422058	-0.0630188	
-0.423279	-0.063324	
-0.4245	-0.0631714	
-0.426331	-0.0624084	
-0.430603	-0.0613403	
-0.433655	-0.0604248	
-0.43457	-0.06073	
-0.436401	-0.062561	
-0.438843	-0.0637817	
-0.440674	-0.065918	
-0.44342	-0.0679016	
-0.444336	-0.0698853	
-0.443726	-0.0697327	
-0.446472	-0.0674438	
-0.447998	-0.0648499	
-0.449219	-0.0604248	
-0.45105	-0.0556946	
-0.452881	-0.0511169	
-0.454102	-0.0482178	
-0.453796	-0.0462341	
-0.456238	-0.0469971	
-0.457764	-0.0476074	
-0.461121	-0.0476074	
-0.462646	-0.0463867	
-0.463867	-0.0460815	
-0.465698	-0.0466919	
-0.46814	-0.0474548	
-0.468445	-0.0476074	
-0.470581	-0.045929	
-0.472412	-0.0436401	
-0.476074	-0.0419617	
-0.477905	-0.0404358	
-0.478821	-0.038147	
-0.479126	-0.0369263	
-0.480957	-0.035553	
-0.484619	-0.0340271	
-0.487671	-0.0337219	
-0.487976	-0.0334167	
-0.488281	-0.032959	
-0.490723	-0.0317383	
-0.493164	-0.0315857	
-0.4953	-0.0309753	
-0.497131	-0.0312805	
-0.500183	-0.032196	
-0.502625	-0.0331116	
-0.502319	-0.0341797	
-0.504761	-0.0369263	
-0.506897	-0.0398254	
-0.510254	-0.0421143	
-0.512085	-0.0456238	
-0.513306	-0.0491333	
-0.514526	-0.0527954	
-0.516968	-0.0547791	
-0.518494	-0.0553894	
-0.519714	-0.0552368	
-0.523071	-0.0532532	
-0.523376	-0.0505066	
-0.525208	-0.0491333	
-0.527344	-0.0479126	
-0.529785	-0.0465393	
-0.531921	-0.0454712	
-0.533142	-0.042572	
-0.534668	-0.0387573	
-0.53772	-0.0358582	
-0.53772	-0.0337219	
-0.53772	-0.0312805	
-0.53772	-0.0302124	
-0.539246	-0.0314331	
-0.541687	-0.0334167	
-0.542908	-0.035553	
-0.542297	-0.0360107	
-0.543213	-0.0360107	
-0.545044	-0.0361633	
-0.546265	-0.0358582	
-0.54718	-0.0372314	
-0.54718	-0.0411987	
-0.549622	-0.0460815	
-0.551147	-0.0509644	
-0.551758	-0.0541687	
-0.552063	-0.0556946	
-0.552979	-0.0564575	
-0.55481	-0.0572205	
-0.556641	-0.0559998	
-0.556641	-0.055542	
-0.556641	-0.0553894	
-0.556946	-0.0532532	
-0.559082	-0.0532532	
-0.561523	-0.0541687	
-0.562134	-0.055542	
-0.563965	-0.0564575	
-0.563049	-0.0585938	
-0.56488	-0.0611877	
-0.566101	-0.0650024	
-0.567017	-0.0671387	
-0.568848	-0.0672913	
-0.570984	-0.0654602	
-0.571899	-0.062561	
-0.572205	-0.0585938	
-0.574036	-0.0556946	
-0.575867	-0.0538635	
-0.576477	-0.0531006	
-0.578613	-0.0535583	
-0.581055	-0.0534058	
-0.58197	-0.0532532	
-0.581665	-0.0526428	
-0.584106	-0.0500488	
-0.585938	-0.0457764	
-0.585938	-0.0408936	
-0.588379	-0.0366211	
-0.590515	-0.0337219	
-0.594177	-0.0311279	
-0.596008	-0.0288391	
-0.596924	-0.0260925	
-0.59845	-0.0242615	
-0.600586	-0.0230408	
-0.603638	-0.022583	
-0.605469	-0.0230408	
-0.608826	-0.0236511	
-0.610046	-0.0241089	
-0.613098	-0.0239563	
-0.614929	-0.0244141	
-0.617981	-0.0263977	
-0.619812	-0.0283813	
-0.621643	-0.0318909	
-0.623169	-0.0349426	
-0.625	-0.0364685	
-0.626221	-0.0364685	
-0.627747	-0.0340271	
-0.630493	-0.0312805	
-0.630188	-0.0296021	
-0.632935	-0.0274658	
-0.634766	-0.0228882	
-0.635376	-0.0164795	
-0.637817	-0.00946045	
-0.639343	-0.00442505	
-0.640869	0.000762939	
-0.6427	0.00473022	
-0.646667	0.0062561	
-0.650024	0.00457764	
-0.650024	-0.000305176	
-0.653076	-0.00823975	
-0.654907	-0.0189209	
-0.657349	-0.0315857	
-0.65979	-0.0428772	
-0.662537	-0.0526428	
-0.664978	-0.059967	
-0.665283	-0.0650024	
-0.667114	-0.0672913	
-0.672913	-0.068512	
-0.674438	-0.0704956	
-0.677185	-0.0727844	
-0.679016	-0.0761414	
-0.679932	-0.0804138	
-0.682373	-0.0846863	
-0.684509	-0.0874329	
-0.687256	-0.0897217	
-0.688782	-0.0917053	
-0.690002	-0.0915527	
-0.692444	-0.090332	
-0.69458	-0.0895691	
-0.697021	-0.0875854	
-0.698853	-0.0843811	
-0.701599	-0.0802612	
-0.704041	-0.0773621	
-0.706177	-0.0747681	
-0.708313	-0.071106	
-0.708618	-0.0683594	
-0.709534	-0.065918	
-0.71106	-0.0656128	
-0.713501	-0.0656128	
-0.715942	-0.0660706	
-0.72113	-0.0675964	
-0.722656	-0.0672913	
-0.723877	-0.0653076	
-0.726013	-0.0624084	
-0.728149	-0.0585938	
