Untitled1.acq
Graph Created on: 2025-05-08 10:32:57.656
Recording on: 2025-05-08 10:44:02.601
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, X, RSPEC-R
mV
CH1	CH9	
168337 samples	168337 samples	
1.58997	-0.0456238	
1.5686	-0.0454712	
1.54602	-0.0454712	
1.52618	-0.0457764	
1.50208	-0.0440979	
1.47797	-0.0422668	
1.45325	-0.0436401	
1.42822	-0.0456238	
1.40686	-0.0453186	
1.38184	-0.0436401	
1.35681	-0.0431824	
1.3324	-0.0411987	
1.30615	-0.040741	
1.28357	-0.0393677	
1.25732	-0.0410461	
1.23169	-0.0428772	
1.20758	-0.0408936	
1.18347	-0.040741	
1.16089	-0.0410461	
1.13434	-0.0404358	
1.10992	-0.0387573	
1.08704	-0.040741	
1.06323	-0.042572	
1.04187	-0.0408936	
1.01868	-0.0389099	
0.996399	-0.0367737	
0.971985	-0.0344849	
0.949402	-0.0350952	
0.927734	-0.0372314	
0.907593	-0.0364685	
0.88562	-0.037384	
0.863647	-0.0367737	
0.844116	-0.0341797	
0.824585	-0.0312805	
0.80719	-0.0352478	
0.785522	-0.0378418	
0.769348	-0.0379944	
0.747986	-0.0358582	
0.731201	-0.0337219	
0.71106	-0.0314331	
0.691528	-0.0314331	
0.671997	-0.0314331	
0.657043	-0.0308228	
0.637817	-0.0291443	
0.620117	-0.0308228	
0.605164	-0.0308228	
0.587769	-0.0288391	
0.572815	-0.0302124	
0.558167	-0.0326538	
0.543518	-0.0317383	
0.527344	-0.0328064	
0.51178	-0.0337219	
0.4953	-0.0335693	
0.480347	-0.0328064	
0.465088	-0.0317383	
0.450134	-0.0296021	
0.435486	-0.0283813	
0.422668	-0.0285339	
0.409241	-0.0265503	
0.396118	-0.0260925	
0.384216	-0.0262451	
0.369568	-0.0259399	
0.359802	-0.0239563	
0.34729	-0.0257874	
0.335388	-0.0262451	
0.325317	-0.0247192	
0.315247	-0.0259399	
0.305176	-0.0280762	
0.295105	-0.0288391	
0.285339	-0.0292969	
0.275879	-0.0270081	
0.26825	-0.0263977	
0.26062	-0.0247192	
0.253601	-0.0239563	
0.245972	-0.025177	
0.236206	-0.0241089	
0.231018	-0.0234985	
0.223694	-0.0241089	
0.217285	-0.0263977	
0.210876	-0.0259399	
0.206299	-0.0262451	
0.199585	-0.0257874	
0.192261	-0.0239563	
0.187073	-0.0238037	
0.181274	-0.0241089	
0.176392	-0.0262451	
0.169983	-0.0260925	
0.164795	-0.0263977	
0.161743	-0.0263977	
0.155334	-0.0280762	
0.152283	-0.0305176	
0.145264	-0.0292969	
0.140381	-0.0285339	
