Biopac.acq
Graph Created on: 2025-06-12 11:39:41.009
Recording on: 2025-06-12 12:42:40.750
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, X, RSPEC-R
mV
min	CH1	CH9	
	546616 samples	546616 samples	
0.00411667	0.417786	0.0448608	
0.00413333	0.411072	0.0411987	
0.00415	0.403748	0.0415039	
0.00416667	0.399475	0.0454712	
0.00418333	0.392761	0.0460815	
0.0042	0.384827	0.0502014	
0.00421667	0.378113	0.0537109	
0.00423333	0.372009	0.0544739	
0.00425	0.366211	0.0567627	
0.00426667	0.359802	0.0561523	
0.00428333	0.352173	0.0563049	
0.0043	0.34668	0.0543213	
0.00431667	0.340881	0.0541687	
0.00433333	0.332947	0.0535583	
0.00435	0.326538	0.0559998	
0.00436667	0.32074	0.0590515	
0.00438333	0.313721	0.0610352	
0.0044	0.309143	0.0653076	
0.00441667	0.302124	0.0643921	
0.00443333	0.296021	0.0624084	
0.00445	0.289307	0.0613403	
0.00446667	0.283813	0.0617981	
0.00448333	0.276184	0.0601196	
0.0045	0.270996	0.06073	
0.00451667	0.264587	0.057373	
0.00453333	0.259094	0.0544739	
0.00455	0.252686	0.0561523	
0.00456667	0.246582	0.0602722	
0.00458333	0.241089	0.0605774	
0.0046	0.23468	0.0552368	
0.00461667	0.230103	0.0549316	
0.00463333	0.22522	0.0645447	
0.00465	0.217896	0.0686646	
0.00466667	0.212708	0.0669861	
0.00468333	0.205688	0.0645447	
0.0047	0.200195	0.0637817	
0.00471667	0.194092	0.0643921	
0.00473333	0.188293	0.0666809	
0.00475	0.181885	0.0704956	
0.00476667	0.176697	0.0737	
0.00478333	0.171814	0.0735474	
0.0048	0.166016	0.0691223	
0.00481667	0.158997	0.062561	
0.00483333	0.152893	0.0593567	
0.00485	0.146484	0.0610352	
0.00486667	0.141602	0.0624084	
0.00488333	0.135803	0.0617981	
0.0049	0.130615	0.063324	
0.00491667	0.124512	0.0640869	
0.00493333	0.119934	0.0622559	
0.00495	0.112305	0.0592041	
0.00496667	0.105896	0.0590515	
0.00498333	0.0994873	0.0567627	
0.005	0.0949097	0.0566101	
0.00501667	0.0878906	0.0584412	
0.00503333	0.0823975	0.063324	
0.00505	0.0769043	0.0694275	
0.00506667	0.0717163	0.0718689	
0.00508333	0.065918	0.0698853	
0.0051	0.0598145	0.0668335	
0.00511667	0.0546265	0.0642395	
0.00513333	0.0479126	0.0654602	
0.00515	0.0445557	0.0666809	
0.00516667	0.0369263	0.0691223	
0.00518333	0.0317383	0.0715637	
0.0052	0.0268555	0.0753784	
0.00521667	0.0219727	0.0804138	
0.00523333	0.0161743	0.0878906	
0.00525	0.0109863	0.0924683	
0.00526667	0.00488281	0.0924683	
0.00528333	-0.000305176	0.0933838	
0.0053	-0.00549316	0.093689	
0.00531667	-0.00976563	0.0987244	
0.00533333	-0.0146484	0.100555	
0.00535	-0.0198364	0.102997	
0.00536667	-0.0228882	0.104828	
0.00538333	-0.0268555	0.106964	
0.0054	-0.0320435	0.109711	
0.00541667	-0.0366211	0.113525	
0.00543333	-0.0421143	0.113678	
0.00545	-0.0463867	0.113068	
0.00546667	-0.0485229	0.11322	
0.00548333	-0.0543213	0.117188	
0.0055	-0.0595093	0.119781	
0.00551667	-0.062561	0.122375	
0.00553333	-0.0665283	0.118866	
0.00555	-0.0708008	0.118408	
0.00556667	-0.0750732	0.122223	
0.00558333	-0.078125	0.122833	
0.0056	-0.0830078	0.121155	
0.00561667	-0.088501	0.12207	
0.00563333	-0.0918579	0.127106	
0.00565	-0.0958252	0.132294	
0.00566667	-0.101318	0.137177	
0.00568333	-0.105591	0.142975	
0.0057	-0.108948	0.144653	
0.00571667	-0.11322	0.142517	
0.00573333	-0.117493	0.144501	
0.00575	-0.122986	0.149078	
0.00576667	-0.126343	0.149384	
0.00578333	-0.130005	0.147095	
0.0058	-0.134888	0.144806	
0.00581667	-0.139771	0.142059	
0.00583333	-0.144653	0.135956	
0.00585	-0.1474	0.133209	
0.00586667	-0.150452	0.130768	
0.00588333	-0.154724	0.128326	
0.0059	-0.159607	0.123291	
0.00591667	-0.164185	0.118866	
0.00593333	-0.166626	0.119781	
0.00595	-0.169983	0.112762	
0.00596667	-0.17395	0.102234	
0.00598333	-0.177307	0.0907898	
0.006	-0.181274	0.0773621	
0.00601667	-0.184937	0.0675964	
0.00603333	-0.187378	0.0660706	
0.00605	-0.191345	0.070343	
0.00606667	-0.194397	0.0767517	
0.00608333	-0.198059	0.080719	
0.0061	-0.201416	0.083313	
0.00611667	-0.204468	0.080719	
0.00613333	-0.20874	0.0765991	
0.00615	-0.211792	0.0718689	
0.00616667	-0.216064	0.0692749	
0.00618333	-0.218811	0.0668335	
0.0062	-0.222778	0.0605774	
0.00621667	-0.225525	0.0537109	
0.00623333	-0.229187	0.0518799	
0.00625	-0.231323	0.0500488	
0.00626667	-0.235596	0.0469971	
0.00628333	-0.238647	0.0447083	
0.0063	-0.240173	0.0427246	
0.00631667	-0.243835	0.0460815	
0.00633333	-0.247803	0.0476074	
0.00635	-0.248108	0.045166	
0.00636667	-0.252686	0.0424194	
0.00638333	-0.253906	0.0340271	
0.0064	-0.256348	0.0242615	
0.00641667	-0.260315	0.0205994	
0.00643333	-0.262451	0.0178528	
0.00645	-0.264893	0.0158691	
0.00646667	-0.267944	0.0187683	
0.00648333	-0.272522	0.0180054	
0.0065	-0.274963	0.0190735	
0.00651667	-0.277405	0.0186157	
0.00653333	-0.281067	0.0160217	
0.00655	-0.284424	0.0128174	
0.00656667	-0.288086	0.0144958	
0.00658333	-0.289612	0.0157166	
0.0066	-0.292664	0.0138855	
0.00661667	-0.296326	0.0149536	
0.00663333	-0.299683	0.0137329	
0.00665	-0.302429	0.01297	
0.00666667	-0.304871	0.0105286	
0.00668333	-0.308838	0.0120544	
0.0067	-0.31189	0.0163269	
0.00671667	-0.314941	0.020752	
0.00673333	-0.317688	0.0239563	
0.00675	-0.319519	0.0205994	
0.00676667	-0.32135	0.0138855	
0.00678333	-0.324707	0.01297	
0.0068	-0.326843	0.0166321	
0.00681667	-0.32959	0.0158691	
0.00683333	-0.332642	0.0132751	
0.00685	-0.333862	0.0106812	
0.00686667	-0.336304	0.0126648	
0.00688333	-0.33844	0.0163269	
0.0069	-0.340271	0.0190735	
0.00691667	-0.343018	0.0175476	
0.00693333	-0.344849	0.0151062	
0.00695	-0.348206	0.0120544	
0.00696667	-0.349426	0.0105286	
0.00698333	-0.352478	0.0119019	
0.007	-0.35614	0.00976563	
0.00701667	-0.358276	0.0140381	
0.00703333	-0.360413	0.0154114	
0.00705	-0.364075	0.0190735	
0.00706667	-0.365906	0.015564	
0.00708333	-0.368958	0.0151062	
0.0071	-0.371704	0.0131226	
0.00711667	-0.374146	0.0152588	
0.00713333	-0.376587	0.0152588	
0.00715	-0.379028	0.0135803	
0.00716667	-0.381165	0.00930786	
0.00718333	-0.384216	0.0062561	
0.0072	-0.386047	0.0135803	
0.00721667	-0.388794	0.0163269	
0.00723333	-0.39093	0.0195313	
0.00725	-0.393372	0.0244141	
0.00726667	-0.395203	0.0279236	
0.00728333	-0.397034	0.0279236	
0.0073	-0.401001	0.0300598	
0.00731667	-0.402832	0.0300598	
0.00733333	-0.404358	0.0259399	
0.00735	-0.405884	0.0230408	
0.00736667	-0.407715	0.0209045	
0.00738333	-0.410767	0.0213623	
0.0074	-0.413208	0.0183105	
0.00741667	-0.415039	0.0137329	
0.00743333	-0.41687	0.0088501	
0.00745	-0.419617	0.00778198	
0.00746667	-0.421143	0.00366211	
0.00748333	-0.422974	0.000762939	
0.0075	-0.425415	-0.00366211	
0.00751667	-0.426941	-0.010376	
0.00753333	-0.429382	-0.00183105	
0.00755	-0.431519	0.00900269	
0.00756667	-0.43457	0.00823975	
0.00758333	-0.435181	0.0012207	
0.0076	-0.436401	-0.0012207	
0.00761667	-0.439148	-0.00213623	
0.00763333	-0.440369	0.000915527	
0.00765	-0.442505	0.00701904	
0.00766667	-0.44342	0.0183105	
0.00768333	-0.444946	0.0346375	
0.0077	-0.446777	0.0563049	
0.00771667	-0.447083	0.0816345	
0.00773333	-0.449829	0.106506	
0.00775	-0.45166	0.123596	
0.00776667	-0.453186	0.146484	
0.00778333	-0.454712	0.178833	
0.0078	-0.457764	0.213013	
0.00781667	-0.458679	0.249481	
0.00783333	-0.4599	0.295563	
0.00785	-0.461426	0.341949	
0.00786667	-0.463867	0.387573	
0.00788333	-0.464783	0.430145	
0.0079	-0.466919	0.477905	
0.00791667	-0.46814	0.528107	
0.00793333	-0.46936	0.575714	
0.00795	-0.471802	0.623474	
0.00796667	-0.474854	0.669403	
0.00798333	-0.475464	0.713196	
0.008	-0.477905	0.756989	
0.00801667	-0.481262	0.793152	
0.00803333	-0.483398	0.823669	
0.00805	-0.48584	0.855103	
0.00806667	-0.487671	0.884399	
0.00808333	-0.489502	0.908966	
0.0081	-0.491943	0.929871	
0.00811667	-0.493774	0.944977	
0.00813333	-0.496216	0.941467	
0.00815	-0.497742	0.925598	
0.00816667	-0.499268	0.90332	
0.00818333	-0.500793	0.886841	
0.0082	-0.502625	0.87616	
0.00821667	-0.504761	0.860443	
0.00823333	-0.506592	0.84198	
0.00825	-0.509033	0.804443	
0.00826667	-0.510559	0.748444	
0.00828333	-0.513306	0.692139	
0.0083	-0.515747	0.642395	
0.00831667	-0.517578	0.589752	
0.00833333	-0.52002	0.541382	
0.00835	-0.523376	0.504913	
0.00836667	-0.525513	0.48111	
0.00838333	-0.52887	0.462494	
0.0084	-0.532227	0.440063	
0.00841667	-0.534973	0.411835	
0.00843333	-0.538025	0.378571	
0.00845	-0.542603	0.343323	
0.00846667	-0.544128	0.304871	
0.00848333	-0.54718	0.273895	
0.0085	-0.548706	0.242767	
0.00851667	-0.552673	0.217743	
0.00853333	-0.55603	0.204926	
0.00855	-0.560608	0.19043	
0.00856667	-0.563354	0.175934	
0.00858333	-0.565491	0.166321	
0.0086	-0.569153	0.158691	
0.00861667	-0.571289	0.148926	
0.00863333	-0.57251	0.143127	
0.00865	-0.574036	0.146484	
0.00866667	-0.578613	0.147552	
0.00868333	-0.58136	0.143585	
0.0087	-0.582581	0.134583	
0.00871667	-0.585632	0.132599	
0.00873333	-0.588684	0.132751	
0.00875	-0.59082	0.130615	
0.00876667	-0.593262	0.126495	
0.00878333	-0.594788	0.127258	
0.0088	-0.597229	0.127411	
0.00881667	-0.59906	0.123444	
0.00883333	-0.602112	0.12085	
0.00885	-0.604858	0.11673	
0.00886667	-0.606689	0.107422	
0.00888333	-0.609436	0.101624	
0.0089	-0.611877	0.0990295	
0.00891667	-0.612793	0.0979614	
0.00893333	-0.615845	0.0924683	
0.00895	-0.618286	0.0866699	
0.00896667	-0.619202	0.0793457	
0.00898333	-0.621643	0.0765991	
0.009	-0.623474	0.0782776	
0.00901667	-0.626221	0.0805664	
0.00903333	-0.628052	0.0726318	
0.00905	-0.630493	0.065155	
0.00906667	-0.632629	0.0639343	
0.00908333	-0.63446	0.0621033	
0.0091	-0.638123	0.0592041	
0.00911667	-0.639038	0.0590515	
0.00913333	-0.642395	0.0592041	
0.00915	-0.6427	0.0613403	
0.00916667	-0.645447	0.0598145	
0.00918333	-0.647278	0.0570679	
0.0092	-0.649719	0.0585938	
0.00921667	-0.650635	0.0590515	
0.00923333	-0.653687	0.0610352	
0.00925	-0.655823	0.0637817	
0.00926667	-0.658264	0.0624084	
0.00928333	-0.661011	0.0614929	
0.0093	-0.663147	0.0553894	
0.00931667	-0.666199	0.0492859	
0.00933333	-0.666809	0.0502014	
0.00935	-0.669861	0.0517273	
0.00936667	-0.671082	0.0523376	
0.00938333	-0.673218	0.0505066	
0.0094	-0.675354	0.0526428	
0.00941667	-0.678101	0.0518799	
0.00943333	-0.679932	0.0505066	
0.00945	-0.681763	0.0556946	
0.00946667	-0.684814	0.0569153	
0.00948333	-0.686951	0.0552368	
0.0095	-0.687866	0.0502014	
0.00951667	-0.690308	0.0473022	
0.00953333	-0.692444	0.0468445	
0.00955	-0.694275	0.0471497	
0.00956667	-0.694885	0.0532532	
0.00958333	-0.696716	0.0662231	
0.0096	-0.699463	0.0708008	
0.00961667	-0.701294	0.0672913	
0.00963333	-0.701904	0.0646973	
0.00965	-0.704651	0.0634766	
0.00966667	-0.707092	0.0619507	
0.00968333	-0.709839	0.0636292	
0.0097	-0.711365	0.0689697	
0.00971667	-0.713806	0.0697327	
0.00973333	-0.715942	0.0671387	
0.00975	-0.718384	0.0621033	
0.00976667	-0.720825	0.0616455	
0.00978333	-0.723572	0.0621033	
0.0098	-0.724792	0.0656128	
0.00981667	-0.726013	0.0686646	
0.00983333	-0.729065	0.0648499	
0.00985	-0.733337	0.0598145	
0.00986667	-0.735168	0.0604248	
0.00988333	-0.736389	0.0592041	
0.0099	-0.739441	0.0587463	
0.00991667	-0.741272	0.0527954	
0.00993333	-0.743103	0.0456238	
0.00995	-0.744324	0.0419617	
0.00996667	-0.74646	0.0415039	
0.00998333	-0.747681	0.0457764	
0.01	-0.749512	0.0465393	
0.0100167	-0.751343	0.0466919	
0.0100333	-0.753784	0.0468445	
0.01005	-0.755615	0.0471497	
0.0100667	-0.758057	0.0492859	
0.0100833	-0.758972	0.0518799	
0.0101	-0.761414	0.0540161	
0.0101167	-0.76355	0.0523376	
0.0101333	-0.766296	0.0476074	
0.01015	-0.768127	0.0468445	
0.0101667	-0.770569	0.0468445	
0.0101833	-0.772705	0.0508118	
0.0102	-0.774841	0.052948	
0.0102167	-0.775757	0.0505066	
0.0102333	-0.778809	0.0531006	
0.01025	-0.780029	0.0532532	
0.0102667	-0.783386	0.0558472	
0.0102833	-0.785828	0.0570679	
0.0103	-0.787659	0.0570679	
0.0103167	-0.7901	0.0553894	
0.0103333	-0.792542	0.0582886	
0.01035	-0.792236	0.0611877	
0.0103667	-0.796814	0.0592041	
0.0103833	-0.797729	0.0590515	
0.0104	-0.800476	0.0590515	
0.0104167	-0.802307	0.0569153	
0.0104333	-0.805054	0.0552368	
0.01045	-0.80719	0.0585938	
0.0104667	-0.809326	0.0608826	
