recording_3_ecgppg_biopac_movement.acq
Graph Created on: 2025-05-22 11:33:37.664
Recording on: 2025-05-22 12:03:22.265
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
milliSec	CH1	CH13	
	218923 samples	218923 samples	
469	-0.900574	0.186157	
470	-0.905457	0.184937	
471	-0.907593	0.181427	
472	-0.911255	0.178986	
473	-0.916443	0.17746	
474	-0.920105	0.172729	
475	-0.924377	0.165405	
476	-0.925598	0.156097	
477	-0.930481	0.146942	
478	-0.934448	0.141602	
479	-0.935974	0.131989	
480	-0.939331	0.11322	
481	-0.943909	0.0860596	
482	-0.94574	0.0564575	
483	-0.949707	0.0247192	
484	-0.953369	-0.00396729	
485	-0.956116	-0.0334167	
486	-0.958862	-0.0617981	
487	-0.960388	-0.0828552	
488	-0.96344	-0.0927734	
489	-0.967712	-0.09552	
490	-0.97229	-0.0973511	
491	-0.974121	-0.0999451	
492	-0.977173	-0.103912	
493	-0.982056	-0.110321	
494	-0.983582	-0.116272	
495	-0.987549	-0.12085	
496	-0.988464	-0.125275	
497	-0.992737	-0.131531	
498	-0.995178	-0.14389	
499	-1.0022	-0.160675	
500	-1.00281	-0.183411	
501	-1.00464	-0.204163	
502	-1.00861	-0.217285	
503	-1.01288	-0.217438	
504	-1.01379	-0.207825	
505	-1.01715	-0.195007	
506	-1.01807	-0.17807	
507	-1.02386	-0.154572	
508	-1.02814	-0.128784	
509	-1.02875	-0.104828	
510	-1.03333	-0.0852966	
511	-1.0379	-0.0694275	
512	-1.04156	-0.0532532	
513	-1.0434	-0.039978	
514	-1.04706	-0.0317383	
515	-1.05194	-0.0262451	
516	-1.05682	-0.0244141	
517	-1.05774	-0.0245667	
518	-1.06079	-0.0247192	
519	-1.06384	-0.0234985	
520	-1.0672	-0.0195313	
521	-1.06781	-0.0140381	
522	-1.07269	-0.0109863	
523	-1.07697	-0.0131226	
524	-1.08124	-0.0175476	
525	-1.08215	-0.0192261	
526	-1.08643	-0.0195313	
527	-1.08795	-0.0195313	
528	-1.09161	-0.0204468	
529	-1.09436	-0.0227356	
530	-1.09741	-0.0263977	
531	-1.10229	-0.0256348	
532	-1.10626	-0.0254822	
533	-1.10748	-0.0265503	
534	-1.11115	-0.0268555	
535	-1.1145	-0.0239563	
536	-1.11755	-0.0221252	
537	-1.1203	-0.0228882	
538	-1.12457	-0.0239563	
539	-1.1264	-0.0210571	
540	-1.13007	-0.0169373	
541	-1.13464	-0.0138855	
542	-1.13922	-0.0120544	
543	-1.14044	-0.0131226	
544	-1.1441	-0.0175476	
545	-1.14563	-0.0216675	
546	-1.14929	-0.0230408	
547	-1.1499	-0.0215149	
548	-1.15417	-0.020752	
549	-1.15662	-0.0239563	
550	-1.16028	-0.0250244	
551	-1.16364	-0.0248718	
552	-1.16547	-0.0216675	
553	-1.16882	-0.0146484	
554	-1.17004	-0.0100708	
555	-1.1731	-0.0126648	
556	-1.17554	-0.0146484	
557	-1.17981	-0.0115967	
558	-1.18317	-0.00961304	
559	-1.18561	-0.00686646	
560	-1.18896	-0.00396729	
561	-1.19202	-0.00259399	
562	-1.19415	-0.000457764	
563	-1.19873	0.00106812	
564	-1.2027	0.00244141	
565	-1.20483	0.00152588	
566	-1.2088	-0.00549316	
567	-1.21033	-0.0125122	
568	-1.21368	-0.0157166	
569	-1.21735	-0.0106812	
570	-1.22009	-0.00350952	
571	-1.22314	0.000762939	
572	-1.22742	0.00167847	
573	-1.22864	0.000152588	
574	-1.2323	0.000762939	
575	-1.23291	0.00442505	
576	-1.23718	0.0050354	
577	-1.23932	0.0050354	
578	-1.2439	0.00411987	
579	-1.24847	0.00549316	
580	-1.25061	0.00640869	
581	-1.25275	0.00564575	
582	-1.25641	0.00244141	
583	-1.2619	-0.00198364	
584	-1.26251	-0.00167847	
585	-1.26678	0.00488281	
586	-1.26892	0.00991821	
587	-1.2738	0.012207	
588	-1.27686	0.0123596	
589	-1.28143	0.0102234	
590	-1.28326	0.00701904	
591	-1.28754	0.00167847	
592	-1.29059	-0.00473022	
593	-1.29608	-0.00976563	
594	-1.29791	-0.0119019	
595	-1.30219	-0.00869751	
596	-1.30524	-0.00198364	
597	-1.30829	0.000762939	
598	-1.31134	0.00274658	
599	-1.31531	0.000610352	
600	-1.31714	0.000762939	
601	-1.3208	0.0050354	
602	-1.32507	0.00701904	
603	-1.3269	0.0050354	
604	-1.33118	0.00488281	
605	-1.33209	0.00488281	
606	-1.33606	0.00427246	
607	-1.34003	0.00259399	
608	-1.34338	0.00259399	
609	-1.34521	0.00534058	
610	-1.34766	0.00808716	
611	-1.35071	0.0134277	
612	-1.35468	0.019989	
613	-1.35559	0.0219727	
614	-1.35895	0.019989	
615	-1.36169	0.0195313	
616	-1.36566	0.022583	
617	-1.36932	0.0270081	
618	-1.37115	0.0294495	
619	-1.37482	0.0294495	
620	-1.37695	0.0282288	
621	-1.38062	0.0283813	
622	-1.38336	0.0270081	
623	-1.38672	0.0288391	
624	-1.38977	0.0312805	
625	-1.3913	0.0341797	
626	-1.39496	0.0341797	
627	-1.39618	0.0375366	
628	-1.40015	0.0410461	
629	-1.40564	0.0415039	
630	-1.4093	0.0411987	
631	-1.41083	0.0434875	
632	-1.41479	0.045929	
633	-1.41907	0.0468445	
634	-1.42395	0.0494385	
635	-1.42487	0.0541687	
636	-1.42975	0.0578308	
637	-1.43433	0.0604248	
638	-1.4389	0.0639343	
639	-1.44012	0.0668335	
640	-1.44409	0.068512	
641	-1.44836	0.070343	
642	-1.45172	0.0700378	
643	-1.45721	0.068512	
644	-1.45966	0.0683594	
645	-1.46301	0.0706482	
646	-1.46759	0.0706482	
647	-1.46942	0.0726318	
648	-1.47308	0.0759888	
649	-1.47705	0.08255	
650	-1.4798	0.0892639	
651	-1.48315	0.092926	
652	-1.48712	0.0950623	
653	-1.4917	0.0946045	
654	-1.49384	0.0944519	
655	-1.4975	0.098114	
656	-1.50177	0.10376	
657	-1.50635	0.103912	
658	-1.50818	0.10376	
659	-1.51245	0.102844	
660	-1.51581	0.0999451	
661	-1.521	0.0984192	
662	-1.52344	0.100708	
663	-1.52802	0.103149	
664	-1.53259	0.106659	
665	-1.53717	0.10498	
666	-1.54144	0.102539	
667	-1.54388	0.100861	
668	-1.54755	0.102234	
669	-1.55151	0.10437	
670	-1.55609	0.103302	
671	-1.56097	0.0976563	
672	-1.56494	0.0952148	
673	-1.56708	0.0971985	
674	-1.57135	0.10025	
675	-1.57471	0.104218	
676	-1.57745	0.107574	
677	-1.58112	0.108948	
678	-1.586	0.103149	
679	-1.58752	0.0923157	
680	-1.59088	0.0860596	
681	-1.59424	0.0878906	
682	-1.59729	0.0927734	
683	-1.60004	0.096283	
684	-1.604	0.09552	
685	-1.60583	0.0930786	
686	-1.61011	0.0927734	
687	-1.61407	0.093689	
688	-1.61652	0.0932312	
689	-1.62109	0.0935364	
690	-1.62445	0.0976563	
691	-1.62567	0.103912	
692	-1.62903	0.106354	
693	-1.6333	0.0997925	
694	-1.63452	0.0843811	
695	-1.63849	0.067749	
696	-1.64063	0.0570679	
697	-1.64581	0.0588989	
698	-1.64978	0.0656128	
699	-1.64948	0.0700378	
700	-1.64948	0.0700378	
701	-1.65314	0.0675964	
702	-1.65436	0.0660706	
703	-1.65527	0.0639343	
704	-1.65466	0.0624084	
705	-1.65466	0.06073	
706	-1.65436	0.0546265	
707	-1.65466	0.0517273	
708	-1.65375	0.0511169	
709	-1.64978	0.0492859	
710	-1.64917	0.0488281	
711	-1.64948	0.0508118	
712	-1.64978	0.0502014	
713	-1.64886	0.0460815	
714	-1.64459	0.0401306	
715	-1.64154	0.0379944	
716	-1.63818	0.042572	
717	-1.63422	0.0466919	
718	-1.63025	0.0480652	
719	-1.62628	0.0454712	
720	-1.6217	0.0421143	
721	-1.61621	0.0337219	
722	-1.61194	0.0265503	
723	-1.60706	0.0233459	
724	-1.60126	0.0196838	
725	-1.59668	0.0164795	
726	-1.59027	0.014801	
727	-1.58264	0.0149536	
728	-1.57593	0.0126648	
729	-1.56677	0.0115967	
730	-1.56036	0.0100708	
731	-1.55182	0.00778198	
732	-1.54266	0.00534058	
733	-1.53442	0.00244141	
734	-1.52557	-0.00167847	
735	-1.51733	-0.00427246	
736	-1.50787	-0.00396729	
737	-1.49506	-0.00335693	
738	-1.48438	-0.00366211	
739	-1.47766	-0.00228882	
740	-1.46423	-0.0012207	
741	-1.45416	-0.00488281	
742	-1.44043	-0.00991821	
743	-1.42944	-0.0128174	
744	-1.41663	-0.0149536	
745	-1.40533	-0.015564	
746	-1.39404	-0.0187683	
747	-1.38092	-0.0215149	
748	-1.36719	-0.0247192	
749	-1.35651	-0.0267029	
750	-1.34277	-0.0253296	
751	-1.33118	-0.0267029	
752	-1.31348	-0.0276184	
753	-1.30219	-0.0259399	
754	-1.28845	-0.0216675	
755	-1.27411	-0.0204468	
756	-1.25946	-0.0242615	
757	-1.24756	-0.0268555	
758	-1.23322	-0.0260925	
759	-1.21857	-0.0216675	
760	-1.20331	-0.0224304	
761	-1.18896	-0.0291443	
762	-1.17432	-0.0364685	
763	-1.16089	-0.0382996	
764	-1.14716	-0.0337219	
765	-1.13251	-0.0291443	
766	-1.11786	-0.0276184	
767	-1.10321	-0.0302124	
768	-1.09131	-0.0334167	
769	-1.07666	-0.0340271	
770	-1.06201	-0.032196	
771	-1.04736	-0.0289917	
772	-1.0321	-0.0271606	
773	-1.01898	-0.0270081	
774	-1.00555	-0.0305176	
775	-0.990601	-0.0350952	
776	-0.976257	-0.0387573	
777	-0.960999	-0.0392151	
778	-0.94635	-0.037384	
779	-0.935364	-0.0375366	
780	-0.918579	-0.039978	
781	-0.904846	-0.0384521	
782	-0.890503	-0.0340271	
783	-0.876465	-0.032196	
784	-0.863037	-0.0315857	
785	-0.848083	-0.0325012	
786	-0.834045	-0.0364685	
787	-0.819092	-0.0410461	
788	-0.80719	-0.0434875	
789	-0.792236	-0.0457764	
790	-0.781555	-0.0489807	
791	-0.765686	-0.0502014	
792	-0.75531	-0.0485229	
793	-0.740662	-0.0486755	
794	-0.726013	-0.0482178	
795	-0.714111	-0.0445557	
796	-0.701294	-0.0434875	
797	-0.690613	-0.0418091	
798	-0.67688	-0.0428772	
799	-0.665283	-0.0445557	
800	-0.651245	-0.0476074	
801	-0.64209	-0.0488281	
802	-0.631714	-0.0489807	
803	-0.620422	-0.0492859	
804	-0.608521	-0.04776	
805	-0.597229	-0.0445557	
806	-0.587463	-0.0410461	
807	-0.577087	-0.0393677	
808	-0.563965	-0.0392151	
809	-0.554199	-0.0411987	
810	-0.545044	-0.0434875	
811	-0.535889	-0.0453186	
812	-0.526428	-0.0422668	
813	-0.515442	-0.0395203	
814	-0.508118	-0.0379944	
815	-0.497131	-0.0398254	
816	-0.489502	-0.0422668	
817	-0.480347	-0.0448608	
818	-0.473022	-0.0466919	
