recording_2_ecgppg_biopac_noisy.acq
Graph Created on: 2025-05-22 11:33:37.664
Recording on: 2025-05-22 11:54:40.285
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
milliSec	CH1	CH13	
	311320 samples	311320 samples	
329	-0.224304	0.0758362	
330	-0.225525	0.0813293	
331	-0.230103	0.0956726	
332	-0.233459	0.113373	
333	-0.23468	0.132446	
334	-0.238037	0.15152	
335	-0.239563	0.172424	
336	-0.240173	0.190277	
337	-0.244751	0.205536	
338	-0.245056	0.216675	
339	-0.249939	0.220032	
340	-0.250244	0.219116	
341	-0.253906	0.221863	
342	-0.255737	0.224152	
343	-0.26001	0.222321	
344	-0.264282	0.217743	
345	-0.26886	0.210876	
346	-0.272522	0.202026	
347	-0.274963	0.187531	
348	-0.279541	0.167999	
349	-0.284119	0.144043	
350	-0.284729	0.119171	
351	-0.289612	0.0923157	
352	-0.294495	0.0610352	
353	-0.299377	0.0292969	
354	-0.303345	0.00320435	
355	-0.303955	-0.0143433	
356	-0.308533	-0.0280762	
357	-0.31189	-0.0386047	
358	-0.316772	-0.0471497	
359	-0.318298	-0.0518799	
360	-0.321045	-0.055542	
361	-0.326843	-0.0590515	
362	-0.331726	-0.0639343	
363	-0.336914	-0.067749	
364	-0.340881	-0.0715637	
365	-0.345764	-0.0785828	
366	-0.351257	-0.0923157	
367	-0.352478	-0.111847	
368	-0.356445	-0.141907	
369	-0.358276	-0.176086	
370	-0.362244	-0.207214	
371	-0.365601	-0.230865	
372	-0.370789	-0.243835	
373	-0.372314	-0.241241	
374	-0.376587	-0.223694	
375	-0.377808	-0.196228	
376	-0.381775	-0.166626	
377	-0.383911	-0.137634	
378	-0.385132	-0.111237	
379	-0.389404	-0.0909424	
380	-0.392456	-0.0701904	
381	-0.396423	-0.0491333	
382	-0.397034	-0.0308228	
383	-0.401306	-0.0202942	
384	-0.406189	-0.0146484	
385	-0.406799	-0.0108337	
386	-0.409546	-0.0100708	
387	-0.414734	-0.0111389	
388	-0.418701	-0.0201416	
389	-0.420227	-0.0323486	
390	-0.425415	-0.0405884	
391	-0.429688	-0.0408936	
392	-0.430908	-0.0378418	
393	-0.436707	-0.0289917	
394	-0.437317	-0.0178528	
395	-0.440674	-0.00732422	
396	-0.445251	0.00167847	
397	-0.448914	0.00900269	
398	-0.45105	0.0164795	
399	-0.454712	0.0192261	
400	-0.458374	0.0177002	
401	-0.463257	0.0180054	
402	-0.466003	0.0221252	
403	-0.46936	0.0250244	
404	-0.472717	0.0241089	
405	-0.475159	0.0187683	
406	-0.479431	0.00961304	
407	-0.484009	0.00106812	
408	-0.488281	-0.00732422	
409	-0.489807	-0.0157166	
410	-0.493164	-0.0190735	
411	-0.497742	-0.0193787	
412	-0.500183	-0.0189209	
413	-0.504456	-0.0128174	
414	-0.50415	-0.00656128	
415	-0.509033	0.00228882	
416	-0.509949	0.0149536	
417	-0.514221	0.0262451	
418	-0.516968	0.0325012	
419	-0.518799	0.0367737	
420	-0.522156	0.0393677	
421	-0.524292	0.0415039	
422	-0.527954	0.0413513	
423	-0.52887	0.0404358	
424	-0.533752	0.0366211	
425	-0.536804	0.0314331	
426	-0.541992	0.0254822	
427	-0.543518	0.0219727	
428	-0.546265	0.0140381	
429	-0.549011	0.00488281	
430	-0.548706	0.000305176	
431	-0.553284	0.000152588	
432	-0.556335	0	
433	-0.558472	0.000610352	
434	-0.561829	0.00778198	
435	-0.562744	0.0216675	
436	-0.566101	0.0364685	
437	-0.567627	0.0488281	
438	-0.570679	0.0537109	
439	-0.573425	0.0523376	
440	-0.577698	0.0521851	
441	-0.581055	0.0537109	
442	-0.582886	0.0518799	
443	-0.585632	0.0491333	
444	-0.587769	0.0469971	
445	-0.592041	0.0463867	
446	-0.592346	0.0418091	
447	-0.596619	0.0340271	
448	-0.600891	0.0221252	
449	-0.602722	0.00579834	
