Local: ,2025-05-22 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1747864800000.0
Timestamp,Seq No.,ECG data
1747908198843.469,47,55799
1747908198844.469,48,55785
1747908198845.469,48,55762
1747908198846.469,48,55735
1747908198847.469,48,55714
1747908198848.469,48,55690
1747908198849.344,48,55664
1747908198850.344,48,55620
1747908198851.344,48,55580
1747908198852.344,48,55526
1747908198853.344,48,55474
1747908198854.344,48,55418
1747908198855.344,49,55361
1747908198856.344,49,55299
1747908198857.344,49,55240
1747908198858.344,49,55187
1747908198859.344,49,55148
1747908198860.344,49,55120
1747908198861.344,49,55107
1747908198862.344,49,55102
1747908198863.344,49,55108
1747908198864.344,49,55096
1747908198865.2192,49,55076
1747908198866.219,50,55034
1747908198867.219,50,54980
1747908198868.219,50,54928
1747908198869.219,50,54874
1747908198870.219,50,54813
1747908198871.219,50,54756
1747908198872.219,50,54708
1747908198873.219,50,54680
1747908198874.219,50,54664
1747908198875.219,50,54645
1747908198876.219,50,54620
1747908198877.219,51,54587
1747908198878.219,51,54556
1747908198879.219,51,54516
1747908198880.219,51,54488
1747908198881.094,51,54472
1747908198882.094,51,54464
1747908198883.094,51,54455
1747908198884.094,51,54449
1747908198885.094,51,54424
1747908198886.094,51,54399
1747908198887.094,51,54370
1747908198888.094,52,54344
1747908198889.094,52,54328
1747908198890.094,52,54316
1747908198891.094,52,54296
1747908198892.094,52,54259
1747908198893.094,52,54211
1747908198894.094,52,54152
1747908198895.094,52,54102
1747908198896.094,52,54050
1747908198897.0,52,54004
1747908198898.0,52,53951
1747908198899.0,53,53901
1747908198900.0,53,53841
1747908198901.0,53,53796
1747908198902.0,53,53755
1747908198903.0,53,53726
1747908198904.0,53,53707
1747908198905.0,53,53698
1747908198906.0,53,53686
1747908198907.0,53,53672
1747908198908.0,53,53655
1747908198909.0,53,53640
1747908198910.0,54,53624
1747908198911.0,54,53596
1747908198912.0,54,53573
1747908198912.875,54,53543
1747908198913.875,54,53510
1747908198914.875,54,53473
1747908198915.875,54,53434
1747908198916.875,54,53399
1747908198917.875,54,53363
1747908198918.875,54,53328
1747908198919.875,54,53302
1747908198920.875,55,53292
1747908198921.875,55,53285
1747908198922.875,55,53282
1747908198923.875,55,53268
1747908198924.875,55,53244
1747908198925.875,55,53204
1747908198926.875,55,53154
1747908198927.875,55,53094
1747908198928.75,55,53022
1747908198929.75,55,52944
1747908198930.75,55,52860
1747908198931.75,56,52796
1747908198932.75,56,52756
1747908198933.75,56,52736
1747908198934.75,56,52717
1747908198935.75,56,52714
1747908198936.75,56,52724
1747908198937.75,56,52737
1747908198938.75,56,52754
1747908198939.75,56,52763
1747908198940.75,56,52767
1747908198941.75,56,52764
1747908198942.75,57,52749
1747908198943.75,57,52723
1747908198944.625,57,52681
1747908198945.625,57,52640
1747908198946.625,57,52589
1747908198947.625,57,52544
1747908198948.625,57,52500
1747908198949.625,57,52459
1747908198950.625,57,52425
1747908198951.625,57,52396
1747908198952.625,57,52383
1747908198953.625,58,52375
1747908198954.625,58,52377
1747908198955.625,58,52380
1747908198956.625,58,52389
1747908198957.625,58,52401
1747908198958.625,58,52417
1747908198959.625,58,52423
1747908198960.5,58,52406
1747908198961.5,58,52375
1747908198962.5,58,52336
1747908198963.5,58,52304
1747908198964.5,59,52262
1747908198965.5,59,52215
1747908198966.5,59,52158
1747908198967.5,59,52099
1747908198968.5,59,52050
1747908198969.5,59,52009
1747908198970.5,59,51970
1747908198971.5,59,51934
1747908198972.5,59,51901
1747908198973.5,59,51880
1747908198974.5,59,51870
1747908198975.5,60,51860
1747908198976.406,60,51841
1747908198977.406,60,51820
1747908198978.406,60,51793
1747908198979.406,60,51761
1747908198980.406,60,51733
1747908198981.406,60,51693
1747908198982.406,60,51650
1747908198983.406,60,51617
1747908198984.406,60,51589
1747908198985.406,60,51567
1747908198986.406,61,51542
1747908198987.406,61,51514
1747908198988.406,61,51481
1747908198989.406,61,51448
1747908198990.406,61,51420
1747908198991.406,61,51391
1747908198992.312,61,51367
1747908198993.313,61,51336
1747908198994.312,61,51319
1747908198995.313,61,51306
1747908198996.312,61,51301
1747908198997.313,62,51287
1747908198998.312,62,51268
1747908198999.312,62,51246
1747908199000.313,62,51215
1747908199001.312,62,51174
1747908199002.313,62,51118
1747908199003.312,62,51063
1747908199004.313,62,51015
1747908199005.312,62,50964
1747908199006.313,62,50914
1747908199007.312,62,50878
1747908199008.188,63,50836
1747908199009.187,63,50799
1747908199010.187,63,50769
1747908199011.188,63,50743
1747908199012.187,63,50730
1747908199013.188,63,50723
1747908199014.187,63,50722
1747908199015.188,63,50727
1747908199016.187,63,50721
1747908199017.188,63,50722
1747908199018.187,63,50710
1747908199019.188,64,50695
1747908199020.187,64,50668
1747908199021.188,64,50617
1747908199022.187,64,50549
1747908199023.1882,64,50479
1747908199024.063,64,50401
1747908199025.062,64,50340
1747908199026.063,64,50288
1747908199027.062,64,50256
1747908199028.063,64,50233
1747908199029.062,64,50222
1747908199030.063,65,50218
1747908199031.0618,65,50211
1747908199032.063,65,50225
1747908199033.062,65,50228
1747908199034.063,65,50224
1747908199035.062,65,50203
1747908199036.063,65,50181
1747908199037.062,65,50149
1747908199038.063,65,50123
1747908199039.062,65,50092
1747908199039.906,65,50054
1747908199040.906,66,50011
1747908199041.906,66,49974
1747908199042.906,66,49926
1747908199043.906,66,49884
1747908199044.906,66,49844
1747908199045.906,66,49805
1747908199046.906,66,49777
1747908199047.906,66,49763
1747908199048.906,66,49751
1747908199049.906,66,49736
1747908199050.906,66,49730
1747908199051.906,67,49726
1747908199052.906,67,49711
1747908199053.906,67,49697
1747908199054.906,67,49677
1747908199055.813,67,49646
1747908199056.812,67,49592
1747908199057.813,67,49542
1747908199058.812,67,49482
1747908199059.813,67,49430
1747908199060.812,67,49382
1747908199061.812,67,49329
1747908199062.813,68,49270
1747908199063.812,68,49235
1747908199064.813,68,49210
1747908199065.812,68,49195
1747908199066.813,68,49179
1747908199067.812,68,49160
1747908199068.813,68,49134
1747908199069.812,68,49106
1747908199070.813,68,49087
1747908199071.687,68,49061
1747908199072.687,68,49024
1747908199073.688,69,48998
1747908199074.687,69,48974
1747908199075.688,69,48951
1747908199076.687,69,48932
1747908199077.688,69,48908
1747908199078.687,69,48882
1747908199079.688,69,48861
1747908199080.687,69,48834
1747908199081.688,69,48804
1747908199082.687,69,48783
1747908199083.688,69,48762
1747908199084.687,70,48742
1747908199085.6882,70,48719
1747908199086.687,70,48691
1747908199087.562,70,48655
1747908199088.563,70,48596
1747908199089.562,70,48535
1747908199090.563,70,48475
1747908199091.562,70,48413
1747908199092.563,70,48361
1747908199093.5618,70,48320
1747908199094.563,70,48282
1747908199095.562,71,48262
1747908199096.563,71,48259
1747908199097.562,71,48269
1747908199098.563,71,48284
1747908199099.562,71,48279
1747908199100.563,71,48253
1747908199101.562,71,48210
1747908199102.562,71,48164
1747908199103.438,71,48104
1747908199104.437,71,48033
1747908199105.438,71,47972
1747908199106.437,72,47923
1747908199107.438,72,47876
1747908199108.437,72,47837
1747908199109.438,72,47808
1747908199110.437,72,47783
1747908199111.438,72,47770
1747908199112.437,72,47777
1747908199113.437,72,47787
1747908199114.438,72,47796
1747908199115.437,72,47795
1747908199116.438,72,47789
1747908199117.4368,73,47765
1747908199118.438,73,47724
1747908199119.281,73,47670
1747908199120.281,73,47620
1747908199121.281,73,47578
1747908199122.281,73,47544
1747908199123.281,73,47517
1747908199124.281,73,47483
1747908199125.281,73,47446
1747908199126.281,73,47397
1747908199127.281,73,47358
1747908199128.281,74,47328
1747908199129.281,74,47295
1747908199130.281,74,47253
1747908199131.281,74,47208
1747908199132.281,74,47175
1747908199133.281,74,47138
1747908199134.281,74,47111
1747908199135.187,74,47079
1747908199136.188,74,47048
1747908199137.187,74,47016
1747908199138.188,74,46978
1747908199139.187,75,46940
1747908199140.188,75,46906
1747908199141.187,75,46865
1747908199142.188,75,46839
1747908199143.187,75,46822
1747908199144.188,75,46810
1747908199145.187,75,46795
1747908199146.188,75,46773
1747908199147.187,75,46757
1747908199148.1882,75,46752
1747908199149.187,75,46752
1747908199150.188,76,46755
1747908199151.063,76,46742
1747908199152.062,76,46716
1747908199153.063,76,46685
1747908199154.062,76,46646
1747908199155.063,76,46605
1747908199156.0618,76,46549
1747908199157.063,76,46484
1747908199158.062,76,46416
1747908199159.063,76,46350
1747908199160.062,76,46293
1747908199161.063,77,46243
1747908199162.062,77,46209
1747908199163.063,77,46176
1747908199164.062,77,46140
1747908199165.062,77,46113
1747908199166.063,77,46091
1747908199166.937,77,46079
1747908199167.938,77,46062
1747908199168.937,77,46045
1747908199169.938,77,46026
1747908199170.937,77,46018
1747908199171.938,78,46015
1747908199172.937,78,46009
1747908199173.938,78,45995
1747908199174.937,78,45974
1747908199175.937,78,45942
1747908199176.938,78,45917
1747908199177.937,78,45884
1747908199178.938,78,45853
1747908199179.9368,78,45829
1747908199180.938,78,45807
1747908199181.937,78,45790
1747908199182.844,79,45768
1747908199183.844,79,45743
1747908199184.844,79,45726
1747908199185.844,79,45710
1747908199186.844,79,45698
1747908199187.844,79,45671
1747908199188.844,79,45639
1747908199189.844,79,45614
1747908199190.844,79,45589
1747908199191.844,79,45575
1747908199192.844,79,45572
1747908199193.844,80,45564
1747908199194.844,80,45566
1747908199195.844,80,45563
1747908199196.844,80,45539
1747908199197.844,80,45488
1747908199198.656,80,45420
1747908199199.656,80,45342
1747908199200.656,80,45265
1747908199201.656,80,45191
1747908199202.656,80,45127
1747908199203.656,80,45086
1747908199204.656,81,45069
1747908199205.656,81,45056
1747908199206.656,81,45046
1747908199207.656,81,45045
1747908199208.656,81,45049
1747908199209.656,81,45057
1747908199210.656,81,45052
1747908199211.656,81,45027
1747908199212.656,81,44985
1747908199213.656,81,44944
1747908199214.594,81,44904
1747908199215.594,82,44868
1747908199216.594,82,44837
1747908199217.594,82,44799
1747908199218.594,82,44768
1747908199219.594,82,44730
1747908199220.594,82,44683
1747908199221.594,82,44623
1747908199222.594,82,44578
1747908199223.594,82,44555
1747908199224.5942,82,44545
1747908199225.594,82,44535
1747908199226.594,83,44524
1747908199227.594,83,44516
1747908199228.594,83,44510
1747908199229.594,83,44496
1747908199230.438,83,44468
1747908199231.437,83,44424
1747908199232.438,83,44384
1747908199233.437,83,44344
1747908199234.438,83,44310
1747908199235.437,83,44282
1747908199236.438,83,44265
1747908199237.437,84,44245
1747908199238.437,84,44230
1747908199239.438,84,44223
1747908199240.437,84,44223
1747908199241.438,84,44222
1747908199242.4368,84,44223
1747908199243.438,84,44211
1747908199244.437,84,44184
1747908199245.438,84,44162
1747908199246.312,84,44123
1747908199247.313,84,44065
1747908199248.312,85,43994
1747908199249.312,85,43927
1747908199250.313,85,43850
1747908199251.312,85,43771
1747908199252.313,85,43696
1747908199253.312,85,43621
1747908199254.313,85,43557
1747908199255.312,85,43509
1747908199256.313,85,43483
1747908199257.312,85,43483
1747908199258.313,85,43484
1747908199259.312,86,43473
1747908199260.313,86,43456
1747908199261.312,86,43437
1747908199262.25,86,43418
1747908199263.25,86,43386
1747908199264.25,86,43356
1747908199265.25,86,43317
1747908199266.25,86,43279
1747908199267.25,86,43234
1747908199268.25,86,43176
1747908199269.25,86,43115
1747908199270.25,87,43065
1747908199271.25,87,43010
1747908199272.25,87,42959
1747908199273.25,87,42908
1747908199274.25,87,42853
1747908199275.25,87,42789
1747908199276.25,87,42721
1747908199277.25,87,42655
1747908199278.063,87,42581
1747908199279.062,87,42520
1747908199280.063,87,42476
1747908199281.0618,88,42454
1747908199282.063,88,42449
1747908199283.062,88,42436
1747908199284.063,88,42420
1747908199285.062,88,42395
1747908199286.063,88,42370
1747908199287.062,88,42335
1747908199288.063,88,42292
1747908199289.062,88,42238
1747908199290.062,88,42191
1747908199291.063,88,42143
1747908199292.062,89,42098
1747908199293.063,89,42064
1747908199294.0,89,42029
1747908199295.0,89,41992
1747908199296.0,89,41954
1747908199297.0,89,41920
1747908199298.0,89,41892
1747908199299.0,89,41875
1747908199300.0,89,41870
1747908199301.0,89,41869
1747908199302.0,89,41863
1747908199303.0,90,41863
1747908199304.0,90,41863
1747908199305.0,90,41867
1747908199306.0,90,41866
1747908199307.0,90,41863
1747908199308.0,90,41863
1747908199309.0,90,41866
1747908199309.875,90,41862
1747908199310.875,90,41837
1747908199311.875,90,41798
1747908199312.875,90,41746
1747908199313.875,91,41661
1747908199314.875,91,41566
1747908199315.875,91,41474
1747908199316.875,91,41406
1747908199317.875,91,41373
1747908199318.875,91,41357
1747908199319.875,91,41348
1747908199320.875,91,41350
1747908199321.875,91,41357
1747908199322.875,91,41361
1747908199323.875,91,41361
1747908199324.875,92,41356
1747908199325.75,92,41355
1747908199326.75,92,41334
1747908199327.75,92,41320
1747908199328.75,92,41307
1747908199329.75,92,41294
1747908199330.75,92,41277
1747908199331.75,92,41265
1747908199332.75,92,41251
1747908199333.75,92,41252
1747908199334.75,92,41256
1747908199335.75,93,41261
1747908199336.75,93,41258
1747908199337.75,93,41243
1747908199338.75,93,41220
1747908199339.75,93,41185
1747908199340.75,93,41145
1747908199341.625,93,41082
1747908199342.625,93,41011
1747908199343.625,93,40942
1747908199344.625,93,40877
1747908199345.625,93,40834
1747908199346.625,94,40807
1747908199347.625,94,40811
1747908199348.625,94,40831
1747908199349.625,94,40865
1747908199350.625,94,40915
1747908199351.625,94,40974
1747908199352.625,94,41029
1747908199353.625,94,41078
1747908199354.625,94,41115
1747908199355.625,94,41145
1747908199356.625,94,41178
1747908199357.5,95,41199
1747908199358.5,95,41213
1747908199359.5,95,41220
1747908199360.5,95,41231
1747908199361.5,95,41251
1747908199362.5,95,41258
1747908199363.5,95,41249
1747908199364.5,95,41243
1747908199365.5,95,41256
1747908199366.5,95,41299
1747908199367.5,95,41349
1747908199368.5,96,41399
1747908199369.5,96,41444
1747908199370.5,96,41480
