Local: ,2025-05-08 00:00:00+02:00,tz_sec ,7200
Linux Epoch (ms):,1746655200000.0
Timestamp,Seq No.,ECG data
1746694284894.188,50,52984
1746694284895.187,50,52963
1746694284896.188,50,52938
1746694284897.187,50,52910
1746694284898.1882,50,52882
1746694284899.187,50,52847
1746694284900.188,50,52809
1746694284901.187,51,52777
1746694284902.188,51,52739
1746694284903.188,51,52708
1746694284904.187,51,52683
1746694284905.063,51,52662
1746694284906.0618,51,52639
1746694284907.063,51,52618
1746694284908.062,51,52598
1746694284909.063,51,52570
1746694284910.062,51,52543
1746694284911.063,51,52517
1746694284912.062,52,52487
1746694284913.063,52,52458
1746694284914.062,52,52433
1746694284915.062,52,52410
1746694284916.063,52,52384
1746694284917.062,52,52357
1746694284918.063,52,52323
1746694284919.062,52,52296
1746694284920.063,52,52269
1746694284920.969,52,52237
1746694284921.969,52,52208
1746694284922.969,53,52177
1746694284923.969,53,52140
1746694284924.969,53,52109
1746694284925.969,53,52090
1746694284926.969,53,52060
1746694284927.969,53,52026
1746694284928.969,53,51995
1746694284929.969,53,51955
1746694284930.969,53,51925
1746694284931.969,53,51888
1746694284932.969,53,51856
1746694284933.969,54,51816
1746694284934.969,54,51788
1746694284935.969,54,51764
1746694284936.844,54,51744
1746694284937.844,54,51715
1746694284938.844,54,51695
1746694284939.844,54,51678
1746694284940.844,54,51660
1746694284941.844,54,51647
1746694284942.844,54,51631
1746694284943.844,54,51606
1746694284944.844,55,51585
1746694284945.844,55,51554
1746694284946.844,55,51528
1746694284947.844,55,51496
1746694284948.844,55,51457
1746694284949.844,55,51430
1746694284950.844,55,51401
1746694284951.844,55,51384
1746694284952.719,55,51369
1746694284953.719,55,51350
1746694284954.719,55,51333
1746694284955.719,56,51304
1746694284956.719,56,51289
1746694284957.719,56,51258
1746694284958.719,56,51220
1746694284959.719,56,51176
1746694284960.719,56,51134
1746694284961.719,56,51103
1746694284962.719,56,51075
1746694284963.719,56,51046
1746694284964.719,56,51009
1746694284965.719,56,50968
1746694284966.719,57,50926
1746694284967.719,57,50890
1746694284968.656,57,50857
1746694284969.656,57,50821
1746694284970.656,57,50797
1746694284971.656,57,50777
1746694284972.656,57,50766
1746694284973.656,57,50748
1746694284974.656,57,50735
1746694284975.656,57,50717
1746694284976.656,57,50696
1746694284977.656,58,50680
1746694284978.656,58,50670
1746694284979.656,58,50643
1746694284980.656,58,50624
1746694284981.656,58,50591
1746694284982.656,58,50568
1746694284983.656,58,50543
1746694284984.5,58,50509
1746694284985.5,58,50479
1746694284986.5,58,50438
1746694284987.5,58,50407
1746694284988.5,59,50380
1746694284989.5,59,50354
1746694284990.5,59,50331
1746694284991.5,59,50310
1746694284992.5,59,50284
1746694284993.5,59,50254
1746694284994.5,59,50219
1746694284995.5,59,50194
1746694284996.5,59,50159
1746694284997.5,59,50132
1746694284998.5,59,50103
1746694284999.5,60,50067
1746694285000.437,60,50031
1746694285001.438,60,49990
1746694285002.437,60,49956
1746694285003.438,60,49932
1746694285004.437,60,49908
1746694285005.438,60,49889
1746694285006.438,60,49861
1746694285007.437,60,49838
1746694285008.438,60,49816
1746694285009.437,60,49792
1746694285010.438,61,49768
1746694285011.437,61,49738
1746694285012.438,61,49704
1746694285013.437,61,49677
1746694285014.438,61,49657
1746694285015.4368,61,49639
1746694285016.281,61,49619
1746694285017.281,61,49605
1746694285018.281,61,49591
1746694285019.281,61,49585
1746694285020.281,61,49570
1746694285021.281,62,49550
1746694285022.281,62,49515
1746694285023.281,62,49486
1746694285024.281,62,49445
1746694285025.281,62,49412
1746694285026.281,62,49375
1746694285027.281,62,49340
1746694285028.281,62,49305
1746694285029.281,62,49275
1746694285030.281,62,49244
1746694285031.281,62,49231
1746694285032.219,63,49211
1746694285033.219,63,49202
1746694285034.219,63,49183
1746694285035.219,63,49153
1746694285036.219,63,49123
1746694285037.219,63,49098
1746694285038.219,63,49075
1746694285039.219,63,49051
1746694285040.219,63,49019
1746694285041.219,63,48986
1746694285042.219,63,48941
1746694285043.219,64,48896
1746694285044.219,64,48862
1746694285045.219,64,48831
1746694285046.219,64,48812
1746694285047.219,64,48790
1746694285048.094,64,48764
1746694285049.094,64,48735
1746694285050.094,64,48713
1746694285051.094,64,48698
1746694285052.094,64,48689
1746694285053.094,64,48669
1746694285054.094,65,48645
1746694285055.094,65,48618
1746694285056.094,65,48594
1746694285057.094,65,48559
1746694285058.094,65,48534
