recording_1_ecgppg_biopac_clean_data.acq
Graph Created on: 2025-05-22 11:33:37.664
Recording on: 2025-05-22 11:43:51.760
1 msec/sample
2 channels
PPG, X, PPGED-R
Volts
ECG, Y, RSPEC-R
mV
milliSec	CH1	CH13	
	337805 samples	337805 samples	
486	0.866394	0.109253	
487	0.875854	0.105591	
488	0.885315	0.103302	
489	0.895386	0.101471	
490	0.905762	0.100403	
491	0.919189	0.0984192	
492	0.930176	0.0975037	
493	0.940552	0.0944519	
494	0.95459	0.092926	
495	0.968018	0.0880432	
496	0.982971	0.0827026	
497	0.996704	0.0805664	
498	1.00922	0.0802612	
499	1.02386	0.0801086	
500	1.03943	0.0802612	
501	1.05377	0.0804138	
502	1.07269	0.0794983	
503	1.08704	0.075531	
504	1.10168	0.0724792	
505	1.12091	0.0698853	
506	1.13647	0.071106	
507	1.15387	0.0720215	
508	1.17279	0.0686646	
509	1.18988	0.0668335	
510	1.20911	0.0653076	
511	1.22772	0.0636292	
512	1.24573	0.0631714	
513	1.2677	0.0621033	
514	1.28357	0.0622559	
515	1.30219	0.0631714	
516	1.32172	0.0653076	
517	1.34125	0.0657654	
518	1.35925	0.065155	
519	1.37817	0.0648499	
520	1.39526	0.0616455	
521	1.41449	0.0610352	
522	1.43402	0.06073	
523	1.45355	0.0601196	
524	1.47186	0.0566101	
525	1.48804	0.0558472	
526	1.50787	0.058136	
527	1.52679	0.0611877	
528	1.54327	0.0631714	
529	1.56158	0.063324	
530	1.58081	0.0628662	
531	1.60095	0.0608826	
532	1.61896	0.0590515	
533	1.63513	0.0602722	
534	1.65497	0.0608826	
535	1.67419	0.0610352	
536	1.69037	0.0616455	
537	1.70898	0.062561	
538	1.72699	0.06073	
539	1.74316	0.0579834	
540	1.76117	0.0553894	
541	1.77765	0.055542	
542	1.7926	0.057373	
543	1.81	0.0561523	
544	1.82678	0.055542	
545	1.84174	0.0518799	
546	1.85669	0.0509644	
547	1.87317	0.0558472	
548	1.88782	0.0575256	
549	1.90369	0.0544739	
550	1.91803	0.0505066	
551	1.93054	0.0486755	
552	1.9455	0.0492859	
553	1.95618	0.052948	
554	1.9693	0.0537109	
555	1.98334	0.0556946	
556	1.99615	0.0552368	
557	2.00867	0.0552368	
558	2.01782	0.0538635	
559	2.03064	0.0526428	
560	2.04224	0.0532532	
561	2.05292	0.0556946	
562	2.06512	0.0572205	
563	2.07397	0.0556946	
564	2.08435	0.0559998	
565	2.09412	0.0563049	
566	2.10083	0.0559998	
567	2.11212	0.0559998	
568	2.12036	0.0553894	
569	2.12677	0.0514221	
570	2.13776	0.0469971	
571	2.14447	0.0431824	
572	2.14996	0.0413513	
573	2.15912	0.043335	
574	2.16522	0.0465393	
575	2.17163	0.0506592	
576	2.17773	0.0518799	
577	2.18445	0.052948	
578	2.19025	0.0497437	
579	2.19452	0.0466919	
580	2.20123	0.0483704	
581	2.20734	0.0497437	
582	2.21161	0.0512695	
583	2.21649	0.0511169	
584	2.22107	0.0520325	
585	2.22382	0.0526428	
586	2.22748	0.0506592	
587	2.2287	0.045929	
588	2.23236	0.0439453	
589	2.23663	0.0437927	
590	2.23663	0.0457764	
591	2.23999	0.0471497	
592	2.24091	0.0495911	
593	2.24182	0.0511169	
594	2.24487	0.0517273	
595	2.2464	0.0508118	
596	2.24701	0.0511169	
597	2.2464	0.0547791	
598	2.24701	0.0590515	
599	2.2467	0.0608826	
600	2.2467	0.0611877	
601	2.24365	0.0611877	
602	2.2467	0.0604248	
603	2.24426	0.0592041	
604	2.24274	0.06073	
605	2.24243	0.0627136	
606	2.2403	0.0627136	
607	2.23969	0.0610352	
608	2.23755	0.0610352	
609	2.23663	0.0608826	
610	2.23633	0.0613403	
611	2.23297	0.0640869	
612	2.23206	0.0665283	
613	2.229	0.0701904	
614	2.22717	0.0708008	
615	2.22504	0.0695801	
616	2.2229	0.0654602	
617	2.22076	0.0634766	
618	2.21771	0.0614929	
619	2.21588	0.0628662	
620	2.21191	0.065155	
621	2.20795	0.065155	
622	2.20612	0.0637817	
623	2.20367	0.0614929	
624	2.1994	0.0590515	
625	2.19635	0.0582886	
626	2.19299	0.0576782	
627	2.18964	0.0556946	
628	2.18842	0.0570679	
629	2.18414	0.0559998	
630	2.17896	0.0563049	
631	2.17682	0.0561523	
632	2.17377	0.0561523	
633	2.1698	0.0561523	
634	2.16675	0.0567627	
635	2.16431	0.0584412	
636	2.16217	0.0587463	
637	2.15515	0.0564575	
638	2.15363	0.0564575	
639	2.14844	0.0561523	
640	2.14478	0.0561523	
641	2.1405	0.0561523	
642	2.13898	0.0552368	
643	2.13623	0.0549316	
644	2.13074	0.0535583	
645	2.12585	0.0526428	
646	2.12097	0.0509644	
647	2.11578	0.0502014	
648	2.11273	0.0520325	
649	2.10999	0.0534058	
650	2.10602	0.0532532	
651	2.10144	0.0494385	
652	2.09595	0.0468445	
653	2.09137	0.0465393	
654	2.08466	0.0463867	
655	2.08099	0.0479126	
656	2.07642	0.0508118	
657	2.0697	0.0534058	
658	2.06238	0.0538635	
659	2.05902	0.0515747	
660	2.052	0.0488281	
661	2.0459	0.0460815	
662	2.03979	0.0469971	
663	2.03461	0.0497437	
664	2.02728	0.0469971	
665	2.02209	0.045166	
666	2.01508	0.043335	
667	2.00806	0.039978	
668	2.00195	0.0408936	
669	1.99341	0.045166	
670	1.98669	0.0466919	
671	1.9812	0.0456238	
672	1.97632	0.043335	
673	1.96869	0.0413513	
674	1.96228	0.0413513	
675	1.95465	0.0431824	
676	1.94916	0.0445557	
677	1.94275	0.0480652	
678	1.93726	0.0489807	
679	1.92993	0.045929	
680	1.92413	0.0431824	
681	1.91803	0.0413513	
682	1.9101	0.039978	
683	1.90369	0.0402832	
684	1.89758	0.0393677	
685	1.89117	0.0378418	
686	1.88538	0.0408936	
687	1.88049	0.0415039	
688	1.87439	0.0411987	
689	1.86615	0.0410461	
690	1.86096	0.0408936	
691	1.85669	0.0384521	
692	1.85059	0.0369263	
693	1.84204	0.0410461	
694	1.83624	0.0442505	
695	1.83197	0.0469971	
696	1.82526	0.0483704	
697	1.81885	0.0489807	
698	1.81488	0.0488281	
699	1.81	0.0483704	
700	1.80084	0.0505066	
701	1.79504	0.0494385	
702	1.79016	0.0488281	
703	1.78528	0.0508118	
704	1.77704	0.0491333	
705	1.77246	0.045929	
706	1.76788	0.0440979	
707	1.76392	0.0436401	
708	1.75659	0.0442505	
709	1.7511	0.0450134	
710	1.74377	0.0437927	
711	1.73828	0.0419617	
712	1.73401	0.0418091	
713	1.72882	0.043335	
714	1.72424	0.0418091	
715	1.71906	0.0422668	
716	1.71326	0.042572	
717	1.70654	0.043335	
718	1.70197	0.0410461	
719	1.69739	0.0411987	
720	1.6922	0.0416565	
721	1.68701	0.0411987	
722	1.68243	0.043335	
723	1.67572	0.0445557	
724	1.67236	0.0462341	
725	1.66534	0.0491333	
726	1.6626	0.052948	
727	1.65833	0.0537109	
728	1.65466	0.0541687	
729	1.6507	0.0567627	
730	1.64398	0.0584412	
731	1.63971	0.0582886	
732	1.63574	0.0592041	
733	1.62903	0.0604248	
734	1.62354	0.0604248	
735	1.62079	0.0634766	
736	1.61896	0.0674438	
737	1.61163	0.0708008	
738	1.60645	0.0718689	
739	1.60156	0.0712585	
740	1.60034	0.0700378	
741	1.59546	0.0669861	
742	1.59058	0.070343	
743	1.58966	0.0706482	
744	1.58417	0.0700378	
745	1.57898	0.0692749	
746	1.57654	0.0708008	
747	1.5744	0.068512	
748	1.57135	0.0640869	
749	1.56708	0.0582886	
750	1.56525	0.0553894	
751	1.56128	0.0538635	
752	1.56036	0.0556946	
753	1.5564	0.0563049	
754	1.55243	0.0567627	
755	1.54785	0.0590515	
756	1.54663	0.0608826	
757	1.54663	0.0587463	
758	1.54297	0.0558472	
759	1.54236	0.0538635	
760	1.54053	0.0537109	
761	1.53717	0.0553894	
762	1.53656	0.0579834	
763	1.53534	0.0587463	
764	1.53412	0.0579834	
765	1.53351	0.0538635	
766	1.53229	0.0492859	
767	1.53229	0.0468445	
768	1.53229	0.0462341	
769	1.52832	0.0460815	
770	1.52679	0.0454712	
771	1.5274	0.0430298	
772	1.52557	0.0408936	
773	1.52496	0.0416565	
774	1.52435	0.0415039	
775	1.52222	0.0431824	
776	1.52222	0.0436401	
777	1.52191	0.0419617	
778	1.52222	0.0413513	
779	1.52222	0.0422668	
780	1.52039	0.0436401	
781	1.51733	0.0440979	
782	1.51703	0.0415039	
783	1.52008	0.0413513	
784	1.51733	0.0392151	
785	1.51703	0.0346375	
786	1.51642	0.0341797	
787	1.5155	0.0326538	
788	1.51276	0.0309753	
789	1.51245	0.0267029	
790	1.51398	0.0227356	
791	1.51306	0.0193787	
792	1.51154	0.0154114	
793	1.51276	0.0149536	
794	1.51062	0.017395	
795	1.50757	0.0195313	
796	1.50787	0.0195313	
797	1.50757	0.0204468	
798	1.50726	0.019989	
799	1.50604	0.0201416	
800	1.50238	0.0218201	
801	1.50238	0.0241089	
802	1.50177	0.0244141	
803	1.50238	0.0245667	
804	1.50238	0.0228882	
805	1.50238	0.0212097	
806	1.49841	0.0189209	
807	1.49811	0.017395	
808	1.49719	0.0178528	
809	1.49567	0.0196838	
810	1.49414	0.0215149	
811	1.49323	0.022583	
812	1.49078	0.0238037	
813	1.4917	0.0195313	
814	1.49139	0.0166321	
815	1.48804	0.0149536	
816	1.48804	0.0166321	
817	1.48651	0.0160217	
818	1.48621	0.0164795	
819	1.48254	0.0178528	
820	1.48315	0.020752	
821	1.48163	0.0213623	
822	1.47858	0.0202942	
823	1.47766	0.0187683	
824	1.47766	0.0192261	
825	1.4743	0.0213623	
826	1.47339	0.0213623	
827	1.47278	0.0198364	
828	1.46881	0.0177002	
829	1.46851	0.0193787	
830	1.46667	0.0187683	
831	1.46484	0.0166321	
832	1.46484	0.015564	
833	1.46423	0.0216675	
834	1.45935	0.0280762	
835	1.45782	0.0296021	
836	1.45874	0.0271606	
837	1.45599	0.0247192	
838	1.4563	0.0219727	
839	1.45386	0.0228882	
840	1.45233	0.0271606	
841	1.45172	0.0289917	
842	1.44928	0.0299072	
843	1.44897	0.0315857	
844	1.44714	0.0317383	
845	1.44318	0.0291443	
846	1.44379	0.0297546	
847	1.44257	0.0369263	
848	1.4389	0.0462341	
849	1.4386	0.0575256	
850	1.43524	0.0650024	
851	1.43372	0.0708008	
852	1.43433	0.0758362	
853	1.4328	0.0804138	
854	1.42944	0.0868225	
855	1.42822	0.0895691	
856	1.42548	0.0906372	
857	1.42365	0.0979614	
858	1.42242	0.108185	
859	1.41968	0.122375	
860	1.41693	0.138855	
861	1.41327	0.156403	
862	1.4093	0.171051	
863	1.40991	0.185852	
864	1.40533	0.201111	
865	1.40259	0.21286	
866	1.39984	0.220337	
867	1.39893	0.225067	
868	1.39526	0.230255	
869	1.39099	0.234222	
870	1.38885	0.234833	
871	1.38367	0.232391	
872	1.38	0.227051	
873	1.37573	0.222626	
874	1.37512	0.21759	
875	1.37146	0.211029	
876	1.36688	0.199738	
877	1.36505	0.185699	
878	1.36108	0.171356	
879	1.3562	0.158386	
880	1.35376	0.140686	
881	1.35101	0.112762	
882	1.34735	0.0759888	
883	1.3443	0.0360107	
884	1.34186	-0.00228882	
885	1.33972	-0.0363159	
886	1.33606	-0.0592041	
887	1.3324	-0.0784302	
888	1.32721	-0.0924683	
889	1.32538	-0.0933838	
890	1.32019	-0.0912476	
891	1.31592	-0.0906372	
892	1.315	-0.0926208	
893	1.30981	-0.0939941	
894	1.30676	-0.0947571	
895	1.3028	-0.0930786	
896	1.29883	-0.09552	
897	1.29608	-0.103912	
898	1.29242	-0.11673	
899	1.28784	-0.133972	
900	1.28723	-0.156555	
901	1.28174	-0.176849	
902	1.27777	-0.187988	
903	1.27289	-0.189514	
904	1.27075	-0.180054	
905	1.26404	-0.163574	
